,country,reserves,share,ISO3
153,Peru,,,PER
154,Philippines,,,PHL
155,Poland,,,POL
156,Portugal,,,PRT
157,Puerto Rico,,,PRI
158,Qatar,,,QAT
159,Romania,,,ROU
160,Russia,480900.0,0.08,RUS
161,Rwanda,,,RWA
162,Saint-Martin,,,MAF
163,Samoa,,,WSM
164,San Marino,,,SMR
165,Sao Tome and Principe,,,STP
166,Saudi Arabia,,,SAU
167,Senegal,,,SEN
168,Serbia,,,SRB
169,Seychelles,,,SYC
170,Sierra Leone,,,SLE
171,Singapore,,,SGP
172,Sint Maarten,,,SXM
173,Slovakia,,,SVK
174,Slovenia,,,SVN
175,Solomon Islands,,,SLB
176,Somalia,,,SOM
177,South Africa,320900.0,0.05,ZAF
178,South Korea,,,KOR
179,South Sudan,,,SSD
180,Spain,,,ESP
181,Sri Lanka,,,LKA
182,St. Kitts and Nevis,,,KNA
183,St. Lucia,,,LCA
184,St. Vincent and the Grenadines,,,VCT
185,Sudan,,,SDN
186,Suriname,,,SUR
187,Sweden,,,SWE
188,Switzerland,,,CHE
189,Syria,,,SYR
190,Tajikistan,,,TJK
191,Tanzania,58200.0,0.01,TZA
192,Thailand,,,THA
193,Timor-Leste,,,TLS
194,Togo,,,TGO
195,Tonga,,,TON
196,Trinidad and Tobago,,,TTO
197,Tunisia,,,TUN
198,Turkmenistan,,,TKM
199,Turks and Caicos Islands,,,TCA
200,Tuvalu,,,TUV
201,Türkiye,,,TUR
202,Uganda,,,UGA
203,Ukraine,107200.0,0.02,UKR
204,United Arab Emirates,,,ARE
205,United Kingdom,,,GBR
206,United States,59400.0,0.01,USA
207,United States Virgin Islands,,,VIR
208,Uruguay,,,URY
209,Uzbekistan,131200.0,0.02,UZB
210,Vanuatu,,,VUT
211,Venezuela,,,VEN
212,Vietnam,,,VNM
213,Yemen,,,YEM
214,Zambia,,,ZMB
215,Zimbabwe,,,ZWE
