,country,score,coop,ISO3
145,Norway,,,NOR
146,Oman,,,OMN
147,Pakistan,,,PAK
148,Palau,,,PLW
149,Palestine,,,PSE
150,Panama,,,PAN
151,Papua New Guinea,,,PNG
152,Paraguay,0.1,Very low,PRY
153,Peru,,,PER
154,Philippines,0.3,Low,PHL
155,Poland,0.4,Low,POL
156,Portugal,,,PRT
157,Puerto Rico,,,PRI
158,Qatar,,,QAT
159,Romania,,,ROU
160,Russia,,,RUS
161,Rwanda,0.5,Low,RWA
162,Saint-Martin,,,MAF
163,Samoa,,,WSM
164,San Marino,,,SMR
165,Sao Tome and Principe,,,STP
166,Saudi Arabia,0.5,Low,SAU
167,Senegal,,,SEN
168,Serbia,0.3,Low,SRB
169,Seychelles,,,SYC
170,Sierra Leone,,,SLE
171,Singapore,,,SGP
172,Sint Maarten,,,SXM
173,Slovakia,1.0,Medium,SVK
174,Slovenia,,,SVN
175,Solomon Islands,,,SLB
176,Somalia,,,SOM
177,South Africa,0.3,Low,ZAF
178,South Korea,,,KOR
179,South Sudan,,,SSD
180,Spain,1.2,High,ESP
181,Sri Lanka,,,LKA
182,St. Kitts and Nevis,,,KNA
183,St. Lucia,,,LCA
184,St. Vincent and the Grenadines,,,VCT
185,Sudan,0.6,Medium,SDN
186,Suriname,,,SUR
187,Sweden,0.7,Medium,SWE
188,Switzerland,,,CHE
189,Syria,,,SYR
190,Tajikistan,,,TJK
191,Tanzania,0.1,Very low,TZA
192,Thailand,,,THA
193,Timor-Leste,,,TLS
194,Togo,,,TGO
195,Tonga,,,TON
196,Trinidad and Tobago,,,TTO
197,Tunisia,0.6,Medium,TUN
198,Turkmenistan,,,TKM
199,Turks and Caicos Islands,,,TCA
200,Tuvalu,,,TUV
201,Türkiye,1.3,High,TUR
202,Uganda,0.1,Very low,UGA
203,Ukraine,,,UKR
204,United Arab Emirates,0.2,Very low,ARE
205,United Kingdom,0.1,Very low,GBR
206,United States,,,USA
207,United States Virgin Islands,,,VIR
208,Uruguay,,,URY
209,Uzbekistan,0.8,Medium,UZB
210,Vanuatu,,,VUT
211,Venezuela,,,VEN
212,Vietnam,0.2,Very low,VNM
213,Yemen,,,YEM
214,Zambia,0.2,Very low,ZMB
215,Zimbabwe,,,ZWE
